"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","UC Davis",70.808,64,68.3296,124,107.077,211,109.333,175,106.454,121,108.269,143,1.06439,155
"2026","UC Irvine",70.6682,73,68.4263,122,103.513,276,104.241,269,96.4942,7,98.2043,24,6.0364,106
"2026","UC Riverside",71.0537,55,68.5713,117,100.813,316,104.075,273,111.555,260,111.865,224,-7.78949,260
"2026","UC San Diego",69.5446,120,67.3461,183,107.523,199,108.959,178,101.16,40,103.662,70,5.29759,113
"2026","UC Santa Barbara",66.8494,251,64.1277,338,113.188,87,114.397,95,108.164,172,110.939,207,3.45752,125
"2026","UCF",70.7887,65,69.4207,75,115.443,60,122.058,30,110.904,241,106.889,118,15.1692,53
"2026","UCLA",65.7353,309,64.4162,329,117.21,46,123.911,19,106.781,131,102.626,51,21.2851,28
"2026","UMass Lowell",68.9151,154,69.1883,85,104.583,262,102.821,290,111.631,263,116.924,316,-14.1031,318
"2026","UMBC",66.4498,277,66.2143,247,111.913,104,107.7,205,101.807,43,110.544,199,-2.84394,199
"2026","UNC Asheville",67.0966,242,64.8271,314,105.669,239,105.058,257,108.979,195,111.742,218,-6.684,245
"2026","UNC Greensboro",68.6158,169,67.7122,159,110.801,125,107.95,196,118.1,350,120.102,347,-12.1517,299
"2026","UNC Wilmington",66.2138,290,65.1245,304,113.762,79,112.159,123,102.143,50,106.327,110,5.83235,110
"2026","UNLV",70.822,62,70.0776,48,111.859,105,116.001,80,111.261,251,109.66,179,6.34116,104
"2026","USC",70.9942,56,70.5539,30,107.852,190,114.187,99,108.847,191,103.331,62,10.8556,77
"2026","USC Upstate",69.235,136,67.5542,172,100.673,318,99.2298,337,107.601,152,111.628,215,-12.3983,302
"2026","UT Arlington",66.4935,274,64.9706,308,100.681,317,103.065,287,100.737,36,102.046,45,1.01854,156
"2026","UT Rio Grande Valley",66.6733,267,66.5252,226,110.186,135,111.585,131,104.923,92,107.213,126,4.37156,119
"2026","Utah",68.0965,199,66.0827,253,108.968,167,114.71,92,116.132,335,111.264,213,3.44537,126
"2026","Utah St.",68.2194,193,67.6696,163,120.378,15,122.998,25,104.673,89,103.376,63,19.6212,36
"2026","Utah Tech",67.9206,206,66.0267,256,106.864,214,111.016,140,109.919,220,112.551,242,-1.53478,184
"2026","Utah Valley",69.7486,106,69.0442,92,111.326,116,113.626,105,100.224,30,104.321,77,9.30566,90
"2026","UTEP",65.9818,299,65.5404,281,99.794,330,101.139,311,109.402,202,110.712,200,-9.57254,277
"2026","UTSA",69.6179,116,68.6494,112,96.9736,345,99.8063,326,119.006,354,118.501,333,-18.6949,340
"2026","Valparaiso",66.1176,296,65.1735,299,105.898,232,108.405,185,106.339,116,107.448,131,0.956964,158
"2026","Vanderbilt",71.3026,45,69.5201,71,121.041,11,125.552,15,104.921,91,99.1338,27,26.4179,13
"2026","VCU",69.8089,103,69.0039,98,118.318,39,120.303,46,103.601,72,103.423,64,16.88,45
"2026","Vermont",64.4879,344,64.9769,307,111.608,110,107.406,212,105.622,102,113.266,252,-5.86059,232
"2026","Villanova",66.5541,271,65.2194,298,115.591,58,121.057,40,104.567,87,100.056,32,21.0016,32
"2026","Virginia",66.6744,266,65.845,269,119.187,27,121.76,33,100.272,31,96.5161,16,25.2441,20
"2026","Virginia Tech",67.9699,205,67.0717,197,112.676,94,117.376,63,106.955,135,103.33,61,14.0461,56
"2026","VMI",67.5698,222,66.7962,215,101.364,310,98.8712,338,123.288,362,125.086,364,-26.2151,360
"2026","Wagner",65.2725,325,65.5137,286,104.789,256,102.775,293,109.236,199,115.576,299,-12.8017,306
"2026","Wake Forest",69.9208,97,68.3077,127,112.051,102,116.879,69,109.503,206,105.541,97,11.3387,75
"2026","Washington",67.8636,210,67.1668,192,112.283,100,117.248,66,107.41,149,102.269,49,14.9791,54
"2026","Washington St.",68.9335,152,67.8863,148,109.634,151,114.214,98,112.193,273,111.821,221,2.39363,136
"2026","Weber St.",69.836,102,68.5818,116,111.793,107,111.788,130,111.898,269,114.381,276,-2.59386,194
"2026","West Georgia",70.1741,86,69.247,83,105.987,230,101.835,307,113.445,298,114.394,277,-12.5593,304
"2026","West Virginia",64.002,356,62.367,363,107.787,191,111.277,136,99.6404,27,97.2452,18,14.0322,57
"2026","Western Carolina",68.7552,162,67.8469,151,111.173,121,109.473,168,113.564,301,114.969,286,-5.49596,229
"2026","Western Illinois",67.319,233,66.6229,224,93.5522,359,93.1125,359,116.383,337,121.619,355,-28.5065,364
"2026","Western Kentucky",70.7164,70,69.7287,63,108.793,172,108.527,183,107.166,142,108.154,142,0.372741,167
"2026","Western Michigan",69.0477,147,67.7014,160,106.594,219,107.968,195,115.849,333,117.204,318,-9.23518,273
"2026","Wichita St.",67.3186,234,66.3466,240,112.645,95,113.113,109,102.402,54,103.716,72,9.39739,88
